constituency_code,candidate,party,constituency,state,votes
S25148,MD NAWSAD SIDDIQUE,All India Secular Front,BHANGAR,WEST BENGAL,126555
S25256,LAKSHMI KANTA MAJUMDAR,Bharatiya Janata Party,KATULPUR,WEST BENGAL,126241
S2589,ASHIM BISWAS,Bharatiya Janata Party,RANAGHAT UTTAR PURBA,WEST BENGAL,126235
S25211,PIJUSH KANTI DAS,Bharatiya Janata Party,CHANDIPUR,WEST BENGAL,126047
S25248,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,CHHATNA,WEST BENGAL,125972
S25179,DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),Bharatiya Janata Party,SHYAMPUR,WEST BENGAL,125651
S25191,SUMANA SARKAR,Bharatiya Janata Party,BALAGARH,WEST BENGAL,125624
S256,ASHUTOSH BARMA,Bharatiya Janata Party,SITAI,WEST BENGAL,125467
S25253,BILLESWAR SINHA,Bharatiya Janata Party,BARJORA,WEST BENGAL,125419
S25251,SOUVIK PATRA,Bharatiya Janata Party,TALDANGRA,WEST BENGAL,124537
S25285,JAGANNATH CHATTOPADHYAY,Bharatiya Janata Party,SURI,WEST BENGAL,124243
S25157,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,METIABURUZ,WEST BENGAL,124230
S25227,SWAGATA MANNA,Bharatiya Janata Party,PINGLA,WEST BENGAL,124189
S25175,GULSAN MULLICK,All India Trinamool Congress,PANCHLA,WEST BENGAL,123967
S2550,GOPAL CHANDRA SAHA,Bharatiya Janata Party,MALDAHA,WEST BENGAL,123656
S2570,HUMAYUN KABIR,Aam Janata Unnayan party,REJINAGAR,WEST BENGAL,123536
S25197,ASIMA PATRA,All India Trinamool Congress,DHANEKHALI,WEST BENGAL,123462
S25200,BAG HEMANTA,Bharatiya Janata Party,ARAMBAG,WEST BENGAL,123000
S259,MALATI RAVA ROY,Bharatiya Janata Party,TUFANGANJ,WEST BENGAL,122525
S25119,SANKAR CHATTERJEE,Bharatiya Janata Party,BARASAT,WEST BENGAL,122171
S2530,MD GHULAM RABBANI,All India Trinamool Congress,GOALPOKHAR,WEST BENGAL,122105
S25270,KRISHNA GHOSH,Bharatiya Janata Party,KATWA,WEST BENGAL,122020
S25208,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,MAHISADAL,WEST BENGAL,121584
S2597,SUBRATA THAKUR,Bharatiya Janata Party,GAIGHATA,WEST BENGAL,121322
S2594,SOMA THAKUR,Bharatiya Janata Party,BAGDA,WEST BENGAL,121307
S25137,BIVAS SARDAR,All India Trinamool Congress,BARUIPUR PURBA,WEST BENGAL,120987
S2528,HAMIDUL RAHAMAN,All India Trinamool Congress,CHOPRA,WEST BENGAL,120986
S25222,LAKSHMI KANTA SAU,Bharatiya Janata Party,JHARGRAM,WEST BENGAL,120877
S257,UDAYAN GUHA,All India Trinamool Congress,DINHATA,WEST BENGAL,120808
S2526,SHANKAR GHOSH,Bharatiya Janata Party,SILIGURI,WEST BENGAL,120760
S25138,PARESH RAM DAS,All India Trinamool Congress,CANNING PASCHIM,WEST BENGAL,120548
S25243,MAYNA MURMU,Bharatiya Janata Party,MANBAZAR,WEST BENGAL,120487
S25132,BANKIM CHANDRA HAZRA,All India Trinamool Congress,SAGAR,WEST BENGAL,119921
S25287,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,NANOOR,WEST BENGAL,119910
S25151,DEBASISH DHAR,Bharatiya Janata Party,SONARPUR UTTAR,WEST BENGAL,119824
S25280,AGNIMITRA PAUL,Bharatiya Janata Party,ASANSOL DAKSHIN,WEST BENGAL,119582
S2596,SWAPAN MAJUMDER,Bharatiya Janata Party,BANGAON DAKSHIN,WEST BENGAL,119399
S25143,PANNA LAL HALDER,All India Trinamool Congress,DIAMOND HARBOUR,WEST BENGAL,119320
S2595,ASHOK KIRTANIA,Bharatiya Janata Party,BANGAON UTTAR,WEST BENGAL,119317
S251,DADHIRAM RAY,Bharatiya Janata Party,MEKLIGANJ,WEST BENGAL,119109
S255,HARIHAR DAS,All India Trinamool Congress,SITALKUCHI,WEST BENGAL,119089
S25134,TAPAS MONDAL S/O-SHIBPRASAD MONDAL,All India Trinamool Congress,RAIDIGHI,WEST BENGAL,118991
S25239,JALADHAR MAHATO,Bharatiya Janata Party,BALARAMPUR,WEST BENGAL,118421
S2527,DURGA MURMU,Bharatiya Janata Party,PHANSIDEWA,WEST BENGAL,118241
S25216,ARUP KUMAR DAS,Bharatiya Janata Party,KANTHI DAKSHIN,WEST BENGAL,118219
S2586,SWAPAN KUMAR DAS,Bharatiya Janata Party,SANTIPUR,WEST BENGAL,117941
S25149,AHMED JAVED KHAN,All India Trinamool Congress,KASBA,WEST BENGAL,117893
S25210,PABITRA KAR,All India Trinamool Congress,NANDIGRAM,WEST BENGAL,117636
S25234,SRIKANTA MAHATA,All India Trinamool Congress,SALBONI,WEST BENGAL,117613
S25121,ABDUL MATIN MUHAMMAD,All India Trinamool Congress,HAROA,WEST BENGAL,117591
S25284,ANUP KUMAR SAHA,Bharatiya Janata Party,DUBRAJPUR,WEST BENGAL,117437
S25130,SAMIR KUMAR JANA,All India Trinamool Congress,PATHARPRATIMA,WEST BENGAL,117164
S25218,TARUN KUMAR MAITY,All India Trinamool Congress,EGRA,WEST BENGAL,116978
S25198,SANTU PAN,Bharatiya Janata Party,TARAKESWAR,WEST BENGAL,116901
S25155,SUBHASIS DAS,All India Trinamool Congress,MAHESHTALA,WEST BENGAL,116811
S25226,MANAS RANJAN BHUNIA,All India Trinamool Congress,SABANG,WEST BENGAL,116647
S25212,TAPAN MAITY,Bharatiya Janata Party,PATASHPUR,WEST BENGAL,116589
S25225,GIRI RAMAPRASAD,Bharatiya Janata Party,NARAYANGARH,WEST BENGAL,116050
S25183,ANUPAM GHOSH,Bharatiya Janata Party,JAGATBALLAVPUR,WEST BENGAL,115608
S25258,DIBAKAR GHARAMI,Bharatiya Janata Party,SONAMUKHI,WEST BENGAL,115549
S2533,HARIPADA BARMAN,Bharatiya Janata Party,HEMTABAD,WEST BENGAL,115529
S25125,MD. TAUSEFFUR RAHMAN,All India Trinamool Congress,BASIRHAT UTTAR,WEST BENGAL,115503
S25153,SANKAR SIKDER,Bharatiya Janata Party,BEHALA PURBA,WEST BENGAL,115502
S2591,BANKIM CHANDRA GHOSH,Bharatiya Janata Party,CHAKDAHA,WEST BENGAL,115433
S25247,CHANDANA BAURI,Bharatiya Janata Party,SALTORA,WEST BENGAL,115180
S25289,KRISHNA KANTA SAHA,Bharatiya Janata Party,SAINTHIA,WEST BENGAL,115054
S25286,CHANDRANATH SINHA,All India Trinamool Congress,BOLPUR,WEST BENGAL,114915
S2511,BISHAL LAMA,Bharatiya Janata Party,KALCHINI,WEST BENGAL,114759
S25277,LAKSHMAN CHANDRA GHORUI,Bharatiya Janata Party,DURGAPUR PASCHIM,WEST BENGAL,114729
S25221,RAJESH MAHATA,Bharatiya Janata Party,GOPIBALLAVPUR,WEST BENGAL,114683
S2518,DINESH SARKAR,Bharatiya Janata Party,RAJGANJ,WEST BENGAL,114657
S2592,ANUPAM BISWAS,Bharatiya Janata Party,KALYANI,WEST BENGAL,114469
S25229,SUBHASHIS OM,Bharatiya Janata Party,DEBRA,WEST BENGAL,114463
S2564,GOURI SANKAR GHOSH,Bharatiya Janata Party,MURSHIDABAD,WEST BENGAL,114443
S25142,MD. SAMIM AHAMED MOLLA,All India Trinamool Congress,MAGRAHAT PASCHIM,WEST BENGAL,113834
S25233,PRADIP LODHA,Bharatiya Janata Party,GARBETA,WEST BENGAL,113752
S25223,BHADRA HEMRAM,Bharatiya Janata Party,KESHIARY,WEST BENGAL,113713
S25245,NADIAR CHAND BOURI,Bharatiya Janata Party,PARA,WEST BENGAL,113488
S25196,MADHUMITA GHOSH,Bharatiya Janata Party,HARIPAL,WEST BENGAL,113332
S25154,DR. INDRANIL KHAN,Bharatiya Janata Party,BEHALA PASCHIM,WEST BENGAL,113171
S2546,MD. MATIBUR RAHAMAN,All India Trinamool Congress,HARISCHANDRAPUR,WEST BENGAL,113104
S25134,PALASH RANA,Bharatiya Janata Party,RAIDIGHI,WEST BENGAL,113034
S25188,ARUP KUMAR DAS,Bharatiya Janata Party,SINGUR,WEST BENGAL,113008
S25124,SURAJIT MITRA (BADAL),All India Trinamool Congress,BASIRHAT DAKSHIN,WEST BENGAL,112965
S2553,SABINA YEASMIN,All India Trinamool Congress,SUJAPUR,WEST BENGAL,112795
S25266,NISITH KUMAR MALIK,All India Trinamool Congress,BARDHAMAN UTTAR,WEST BENGAL,112688
S25240,RAHIDAS MAHATO,Bharatiya Janata Party,BAGHMUNDI,WEST BENGAL,112663
S25130,ASIT KUMAR HALDAR,Bharatiya Janata Party,PATHARPRATIMA,WEST BENGAL,112291
S2578,SUBRATA KABIRAJ,Bharatiya Janata Party,TEHATTA,WEST BENGAL,112138
S2520,SUKRA MUNDA,Bharatiya Janata Party,MAL,WEST BENGAL,112095
S25291,DHRUBA SAHA,Bharatiya Janata Party,RAMPURHAT,WEST BENGAL,111920
S25287,KHOKAN DAS,Bharatiya Janata Party,NANOOR,WEST BENGAL,111788
S25250,KSHETRAMOHAN HANSDA,Bharatiya Janata Party,RAIPUR,WEST BENGAL,111443
S25269,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,PURBASTHALI UTTAR,WEST BENGAL,111379
S25271,ANADI GHOSH,Bharatiya Janata Party,KETUGRAM,WEST BENGAL,111104
S25255,SHUKLA CHATTERJEE,Bharatiya Janata Party,BISHNUPUR,WEST BENGAL,111082
S25145,AGNISWAR NASKAR,Bharatiya Janata Party,SATGACHHIA,WEST BENGAL,111023
S25268,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,PURBASTHALI DAKSHIN,WEST BENGAL,111004
S25206,CHANDAN MONDAL,All India Trinamool Congress,MOYNA,WEST BENGAL,110925
S25264,SIDDHARTHA MAJUMDAR,Bharatiya Janata Party,KALNA,WEST BENGAL,110790
S25274,RAJU PATRA,Bharatiya Janata Party,GALSI,WEST BENGAL,110640
S25145,SOMASHREE BETAL,All India Trinamool Congress,SATGACHHIA,WEST BENGAL,110622
S25197,BARNALI DAS,Bharatiya Janata Party,DHANEKHALI,WEST BENGAL,110405
S25219,AJIT KUMAR JANA,Bharatiya Janata Party,DANTAN,WEST BENGAL,110259
S2549,GOUR CHANDRA MANDAL,Bharatiya Janata Party,MANIKCHAK,WEST BENGAL,110118
S25213,DEBASIS BHUNYA,All India Trinamool Congress,KANTHI UTTAR,WEST BENGAL,110033
S25151,FIRDOUSI BEGAM,All India Trinamool Congress,SONARPUR UTTAR,WEST BENGAL,110017
S25196,KARABI MANNA,All India Trinamool Congress,HARIPAL,WEST BENGAL,109844
S25214,MANAB KUMAR PARUA,All India Trinamool Congress,BHAGABANPUR,WEST BENGAL,109708
S25178,PULAK ROY,All India Trinamool Congress,ULUBERIA DAKSHIN,WEST BENGAL,109649
S25131,DIPANKAR JANA,Bharatiya Janata Party,KAKDWIP,WEST BENGAL,109373
S25204,SUBRATA MAITY(RANA),Bharatiya Janata Party,PANSKURA PURBA,WEST BENGAL,109264
S25183,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,JAGATBALLAVPUR,WEST BENGAL,108937
S25276,CHANDRA SEKHAR BANERJEE,Bharatiya Janata Party,DURGAPUR PURBA,WEST BENGAL,108888
S25257,NIRMAL KUMAR DHARA,Bharatiya Janata Party,INDUS,WEST BENGAL,108733
S2554,RAJU KARMAKAR,Bharatiya Janata Party,BAISNABNAGAR,WEST BENGAL,108692
S2584,SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,NABADWIP,WEST BENGAL,108631
S25127,BIKARNA NASKAR,Bharatiya Janata Party,GOSABA,WEST BENGAL,108492
S254,RATHINDRA BOSE,Bharatiya Janata Party,COOCHBEHAR DAKSHIN,WEST BENGAL,108482
S25161,SOBHANDEB CHATTOPADHYAY,All India Trinamool Congress,BALLYGUNGE,WEST BENGAL,108481
S25141,SARMISTHA PURKAIT,All India Trinamool Congress,MAGRAHAT PURBA,WEST BENGAL,108412
S25136,BISWANATH DAS,All India Trinamool Congress,JAYNAGAR,WEST BENGAL,108194
S2529,AGARWAL KANAIA LAL,All India Trinamool Congress,ISLAMPUR,WEST BENGAL,108117
S2593,ASIM KUMAR SARKAR,Bharatiya Janata Party,HARINGHATA,WEST BENGAL,107900
S2575,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),DOMKAL,WEST BENGAL,107882
S25257,SHYAMALI ROY BAGDI,All India Trinamool Congress,INDUS,WEST BENGAL,107833
S25260,MOUMITA BISWAS MISRA,Bharatiya Janata Party,BARDHAMAN DAKSHIN,WEST BENGAL,107754
S25273,KALITA MAJI,Bharatiya Janata Party,AUSGRAM,WEST BENGAL,107692
S25212,PIJUS KANTI PANDA,All India Trinamool Congress,PATASHPUR,WEST BENGAL,107538
S25237,DR. PRANAT TUDU,Bharatiya Janata Party,BINPUR,WEST BENGAL,107238
S25123,SANAT SARDAR,Bharatiya Janata Party,SANDESHKHALI,WEST BENGAL,107189
S25194,SWATI KHANDOKER,All India Trinamool Congress,CHANDITALA,WEST BENGAL,107143
S25290,DUDH KUMAR MONDAL,Bharatiya Janata Party,MAYURESWAR,WEST BENGAL,107056
S25232,DOLOI SURJYA KANTA,All India Trinamool Congress,CHANDRAKONA,WEST BENGAL,107036
S2548,SAMAR MUKHERJEE,All India Trinamool Congress,RATUA,WEST BENGAL,106834
S25244,KAMALA KANTA HANSDA,Bharatiya Janata Party,KASHIPUR,WEST BENGAL,106571
S25115,PIYUSH KANODIA,Bharatiya Janata Party,RAJARHAT NEW TOWN,WEST BENGAL,106564
S25265,MANAB GUHA,Bharatiya Janata Party,MEMARI,WEST BENGAL,106428
S25288,DEBASIS OJHA (HAKU DA),Bharatiya Janata Party,LABPUR,WEST BENGAL,106402
S25115,TAPASH CHATTERJEE,All India Trinamool Congress,RAJARHAT NEW TOWN,WEST BENGAL,106248
S25266,SANJOY DAS,Bharatiya Janata Party,BARDHAMAN UTTAR,WEST BENGAL,106228
S25150,SARBORI MUKHERJEE,Bharatiya Janata Party,JADAVPUR,WEST BENGAL,106199
S2562,REYAT HOSSAIN SARKAR,All India Trinamool Congress,BHAGAWANGOLA,WEST BENGAL,105997
S25182,SAMIR KUMAR PANJA,All India Trinamool Congress,UDAYNARAYANPUR,WEST BENGAL,105802
S2540,BUDHRAI TUDU,Bharatiya Janata Party,TAPAN,WEST BENGAL,105780
S25211,UTTAM BARIK,All India Trinamool Congress,CHANDIPUR,WEST BENGAL,105777
S25227,AJIT MAITY,All India Trinamool Congress,PINGLA,WEST BENGAL,105709
S2535,KOUSHIK CHOWDHURY,Bharatiya Janata Party,RAIGANJ,WEST BENGAL,105561
S25174,PRIYA PAUL,All India Trinamool Congress,SANKRAIL,WEST BENGAL,105412
S25205,SIRAJ KHAN,All India Trinamool Congress,PANSKURA PASCHIM,WEST BENGAL,105352
S2577,SAMARENDRANATH GHOSH,Bharatiya Janata Party,KARIMPUR,WEST BENGAL,105234
S2541,SATYENDRA NATH ROY,Bharatiya Janata Party,GANGARAMPUR,WEST BENGAL,105083
S25180,ARUNAVA SEN,All India Trinamool Congress,BAGNAN,WEST BENGAL,105060
S25217,AKHIL GIRI,All India Trinamool Congress,RAMNAGAR,WEST BENGAL,104869
S25140,BIMAN BANERJEE,All India Trinamool Congress,BARUIPUR PASCHIM,WEST BENGAL,104781
S25289,NILABATI SAHA,All India Trinamool Congress,SAINTHIA,WEST BENGAL,104748
S25241,BISWAJIT MAHATO,Bharatiya Janata Party,JOYPUR,WEST BENGAL,104668
S25181,AMIT SAMANTA,Bharatiya Janata Party,AMTA,WEST BENGAL,104649
S25100,DEBDAS MONDAL,Bharatiya Janata Party,HABRA,WEST BENGAL,104645
S25131,MANTURAM PAKHIRA,All India Trinamool Congress,KAKDWIP,WEST BENGAL,104613
S25281,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,ASANSOL UTTAR,WEST BENGAL,104516
S25238,RAJIB LOCHAN SAREN,All India Trinamool Congress,BANDWAN,WEST BENGAL,104503
S25259,NABIN CHANDRA BAG,All India Trinamool Congress,KHANDAGHOSH,WEST BENGAL,104183
S2547,ABDUR RAHIM BOXI,All India Trinamool Congress,MALATIPUR,WEST BENGAL,104123
S25272,SHISHIR GHOSH,Bharatiya Janata Party,MANGALKOT,WEST BENGAL,104020
S25282,AJAY KUMAR PODDAR,Bharatiya Janata Party,KULTI,WEST BENGAL,103570
S25261,SUBHASH PATRA,Bharatiya Janata Party,RAINA,WEST BENGAL,103487
S2521,PUNA BHENGRA,Bharatiya Janata Party,NAGRAKATA,WEST BENGAL,103478
S25124,DR. SOURYA BANERJEE,Bharatiya Janata Party,BASIRHAT DAKSHIN,WEST BENGAL,103421
S25179,NADEBASI JANA,All India Trinamool Congress,SHYAMPUR,WEST BENGAL,103391
S2599,BURHANUL MUKADDIM (LITON),All India Trinamool Congress,BADURIA,WEST BENGAL,103334
S25110,SOURAV SIKDAR,Bharatiya Janata Party,DUM DUM UTTAR,WEST BENGAL,103284
S25292,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,HANSAN,WEST BENGAL,103223
S2533,SATYAJIT BARMAN,All India Trinamool Congress,HEMTABAD,WEST BENGAL,103168
S2585,SADHAN GHOSH,Bharatiya Janata Party,KRISHNANAGAR DAKSHIN,WEST BENGAL,102862
S25288,ABHIJIT SINHA (RANA),All India Trinamool Congress,LABPUR,WEST BENGAL,102852
S25261,MANDIRA DALUI,All India Trinamool Congress,RAINA,WEST BENGAL,102653
S2514,LAXUMAN LIMBU,Bharatiya Janata Party,MADARIHAT,WEST BENGAL,102488
S25193,SWARAJ GHOSH,Bharatiya Janata Party,SAPTAGRAM,WEST BENGAL,102414
S25195,PROSENJIT BAG,Bharatiya Janata Party,JANGIPARA,WEST BENGAL,102409
S25203,DIPENDRA NARAYAN ROY,All India Trinamool Congress,TAMLUK,WEST BENGAL,101837
S25286,DILIP GHOSH,Bharatiya Janata Party,BOLPUR,WEST BENGAL,101727
S25195,SNEHASIS CHAKRABORTY,All India Trinamool Congress,JANGIPARA,WEST BENGAL,101547
S25192,TUSAR KUMAR MAJUMDAR,Bharatiya Janata Party,PANDUA,WEST BENGAL,101349
S25117,TARUNJYOTI TEWARI,Bharatiya Janata Party,RAJARHAT  GOPALPUR,WEST BENGAL,101277
S25158,FIRHAD HAKIM,All India Trinamool Congress,KOLKATA PORT,WEST BENGAL,101226
S25120,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,DEGANGA,WEST BENGAL,101114
S25230,ASHIS HUDAIT,All India Trinamool Congress,DASPUR,WEST BENGAL,100937
S25207,SUKUMAR DE,All India Trinamool Congress,NANDAKUMAR,WEST BENGAL,100873
S25220,AMIYA KISKU,Bharatiya Janata Party,NAYAGRAM,WEST BENGAL,100857
S2581,SANTANU DEY,Bharatiya Janata Party,NAKASHIPARA,WEST BENGAL,100600
S25173,NANDITA CHOWDHURY,All India Trinamool Congress,HOWRAH DAKSHIN,WEST BENGAL,100540
S25126,REKHA PATRA,Bharatiya Janata Party,HINGALGANJ,WEST BENGAL,100207
S25181,SUKANTA KUMAR PAUL,All India Trinamool Congress,AMTA,WEST BENGAL,100195
S25274,ALOK KUMAR MAJHI,All India Trinamool Congress,GALSI,WEST BENGAL,100146
S25262,ARUN HALDER,Bharatiya Janata Party,JAMALPUR,WEST BENGAL,99936
S25219,MANIK MAITI,All India Trinamool Congress,DANTAN,WEST BENGAL,99883
S25265,RASH BIHARI  HALDER,All India Trinamool Congress,MEMARI,WEST BENGAL,99322
S25114,ARIJIT BAKSHI,Bharatiya Janata Party,DUM DUM,WEST BENGAL,99181
S25267,KARFA SOUMEN,Bharatiya Janata Party,BHATAR,WEST BENGAL,98820
S25228,DINEN ROY,All India Trinamool Congress,KHARAGPUR,WEST BENGAL,98320
S2536,MOSARAF HUSSEN,All India Trinamool Congress,ITAHAR,WEST BENGAL,98172
S25116,SHARADWAT MUKHERJEE,Bharatiya Janata Party,BIDHANNAGAR,WEST BENGAL,97979
S25223,RAMJIBAN MANDI,All India Trinamool Congress,KESHIARY,WEST BENGAL,97826
S25109,KALYAN CHAKRABORTI,Bharatiya Janata Party,KHARDAHA,WEST BENGAL,97752
S2537,TAPAS CHANDRA ROY,Bharatiya Janata Party,KUSHMANDI,WEST BENGAL,97437
S25278,PARTHA GHOSH,Bharatiya Janata Party,RANIGANJ,WEST BENGAL,97416
S25215,RABIN CHANDRA MANDAL,All India Trinamool Congress,KHEJURI,WEST BENGAL,97185
S2582,JEBER SEKH,All India Trinamool Congress,CHAPRA,WEST BENGAL,97085
S25149,BANERJEE SANDIP,Bharatiya Janata Party,KASBA,WEST BENGAL,96919
S25294,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,MURARAI,WEST BENGAL,96902
S25101,DR. SUMAY HIRA,Bharatiya Janata Party,ASHOKNAGAR,WEST BENGAL,96807
S2520,BULU CHIK BARAIK,All India Trinamool Congress,MAL,WEST BENGAL,96603
S25254,SUBRATA DUTTA (GOPI),All India Trinamool Congress,ONDA,WEST BENGAL,96573
S25263,SAIKAT PANJA,Bharatiya Janata Party,MONTESWAR,WEST BENGAL,96559
S2532,BIRAJ BISWAS,Bharatiya Janata Party,KARANDIGHI,WEST BENGAL,96260
S2515,NIRMAL CHANDRA ROY,All India Trinamool Congress,DHUPGURI,WEST BENGAL,96248
S2549,KABITA MANDAL,All India Trinamool Congress,MANIKCHAK,WEST BENGAL,96180
S25192,SAMIR CHAKRABORTY,All India Trinamool Congress,PANDUA,WEST BENGAL,96121
S259,SHIBSANKAR PAUL,All India Trinamool Congress,TUFANGANJ,WEST BENGAL,96068
S25118,RATHIN GHOSH,All India Trinamool Congress,MADHYAMGRAM,WEST BENGAL,95995
S25171,ARUP ROY,All India Trinamool Congress,HOWRAH MADHYA,WEST BENGAL,95948
