CANDIDATE,PARTY,CONSTITUENCY,STATE,WINNER_VOTES
"SATPAL JAMBA","Bharatiya Janata Party",PUNDRI,HARYANA,42805
"ARJUN CHAUTALA","Indian National Lok Dal",RANIA,HARYANA,43914
"VIKAS SAHARAN","Indian National Congress",KALAYAT,HARYANA,48142
"DEVENDER CHATAR BHUJ ATTRI","Bharatiya Janata Party","UCHANA KALAN",HARYANA,48968
"SAVITRI JINDAL",Independent,HISAR,HARYANA,49231
"INDURAJ SINGH NARWAL","Indian National Congress",BARODA,HARYANA,54462
"YOGINDER SINGH RANA","Bharatiya Janata Party",ASSANDH,HARYANA,54761
"ADITYA DEVILAL","Indian National Lok Dal",DABWALI,HARYANA,56074
"BALRAM DANGI","Indian National Congress",MEHAM,HARYANA,56865
"ARVIND KUMAR SHARMA","Bharatiya Janata Party",GOHANA,HARYANA,57055
"RENU BALA","Indian National Congress",SADHAURA,HARYANA,57534
"OM PRAKASH YADAV","Bharatiya Janata Party",NARNAUL,HARYANA,57635
"ARTI SINGH RAO","Bharatiya Janata Party",ATELI,HARYANA,57737
"PAWAN KHARKHODA","Bharatiya Janata Party",KHARKHAUDA,HARYANA,58084
"RAM KUMAR GAUTAM","Bharatiya Janata Party",SAFIDON,HARYANA,58983
"UMED SINGH","Bharatiya Janata Party",BADHRA,HARYANA,59315
"BHARAT BHUSHAN BATRA","Indian National Congress",ROHTAK,HARYANA,59419
"KRISHAN KUMAR","Bharatiya Janata Party",NARWANA,HARYANA,59474
"ANIL VIJ","Bharatiya Janata Party","AMBALA CANTT.",HARYANA,59858
"SHAKTI RANI SHARMA","Bharatiya Janata Party",KALKA,HARYANA,60612
"RAGHUVIR SINGH KADIAN","Indian National Congress",BERI,HARYANA,60630
"RAM KARAN","Indian National Congress",SHAHBAD,HARYANA,61050
"TEJPAL TANWAR","Bharatiya Janata Party",SOHNA,HARYANA,61243
"MOOL CHAND SHARMA","Bharatiya Janata Party",BALLABGARH,HARYANA,61806
"MANJU CHOUDHARY","Indian National Congress","NANGAL CHAUDHRY",HARYANA,61989
"SHALLEY CHAUDHARY","Indian National Congress",NARAINGARH,HARYANA,62180
"KANWAR SINGH","Bharatiya Janata Party",MAHENDRAGARH,HARYANA,63036
"MANDEEP CHATHA","Indian National Congress",PEHOWA,HARYANA,64548
"DEVENDER HANS","Indian National Congress",GUHLA,HARYANA,64611
"KRISHNA GAHLAWAT","Bharatiya Janata Party",RAI,HARYANA,64614
VINESH,"Indian National Congress",JULANA,HARYANA,65080
"CHANDER PARKASH S/O ARJUN LAL","Indian National Congress",ADAMPUR,HARYANA,65371
"SUNIL SATPAL SANGWAN","Bharatiya Janata Party",DADRI,HARYANA,65568
"RANDHIR PANIHAR","Bharatiya Janata Party",NALWA,HARYANA,66330
"GEETA BHUKKAL","Indian National Congress",JHAJJAR,HARYANA,66345
"SHISHPAL KEHARWALA","Indian National Congress",KALANWALI,HARYANA,66728
"RANBIR GANGWA","Bharatiya Janata Party",BARWALA,HARYANA,66843
"GHANSHYAM SARAF","Bharatiya Janata Party",BHIWANI,HARYANA,67087
"CHANDER MOHAN","Indian National Congress",PANCHKULA,HARYANA,67397
"AKRAM KHAN","Indian National Congress",JAGADHRI,HARYANA,67403
"KRISHAN LAL PANWAR","Bharatiya Janata Party",ISRANA,HARYANA,67538
"KULDEEP VATS","Indian National Congress",BADLI,HARYANA,68160
"HARINDER SINGH","Bharatiya Janata Party",HODAL,HARYANA,68865
"DR KRISHAN LAL MIDDHA","Bharatiya Janata Party",JIND,HARYANA,68920
"SHAKUNTLA KHATAK","Indian National Congress",KALANAUR,HARYANA,69348
"ASHOK KUMAR ARORA","Indian National Congress",THANESAR,HARYANA,70076
"NAYAB SINGH","Bharatiya Janata Party",LADWA,HARYANA,70177
"RAGHUBIR TEWATIA","Indian National Congress",PRITHLA,HARYANA,70262
"GHANSHYAM DASS","Bharatiya Janata Party",YAMUNANAGAR,HARYANA,73185
"RAJESH JOON",Independent,BAHADURGARH,HARYANA,73191
"SHYAM SINGH RANA","Bharatiya Janata Party",RADAUR,HARYANA,73348
"SHRUTI CHOUDHRY","Bharatiya Janata Party",TOSHAM,HARYANA,76414
"DEVENDER KADYAN",Independent,GANAUR,HARYANA,77248
"BHARAT SINGH BENIWAL","Indian National Congress",ELLENABAD,HARYANA,77865
"BHAGWAN DASS","Bharatiya Janata Party",NILOKHERI,HARYANA,77902
"NARESH SELWAL","Indian National Congress",UKLANA,HARYANA,78448
"VINOD BHAYANA","Bharatiya Janata Party",HANSI,HARYANA,78686
"GOKUL SETIA","Indian National Congress",SIRSA,HARYANA,79020
POOJA,"Indian National Congress",MULANA,HARYANA,79089
"DHANESH ADLAKHA","Bharatiya Janata Party",BADKHAL,HARYANA,79476
"MOHD ISRAIL","Indian National Congress",HATHIN,HARYANA,79907
"KAPOOR SINGH","Bharatiya Janata Party","BAWANI KHERA",HARYANA,80077
"RAM KUMAR KASHYAP","Bharatiya Janata Party",INDRI,HARYANA,80465
"MANMOHAN BHADANA","Bharatiya Janata Party",SAMALKHA,HARYANA,81293
"RAJBIR FARTIA","Indian National Congress",LOHARU,HARYANA,81336
"PARMOD KUMAR VIJ","Bharatiya Janata Party","PANIPAT CITY",HARYANA,81750
"ADITYA SURJEWALA","Indian National Congress",KAITHAL,HARYANA,83744
"LAXMAN SINGH YADAV","Bharatiya Janata Party",REWARI,HARYANA,83747
"NIRMAL SINGH MOHRA","Indian National Congress","AMBALA CITY",HARYANA,84475
"JASSI PETWAR","Indian National Congress",NARNAUND,HARYANA,84801
"NIKHIL MADAAN","Bharatiya Janata Party",SONIPAT,HARYANA,84827
"MOHAMMAD ILYAS","Indian National Congress",PUNAHANA,HARYANA,85300
"BALWAN SINGH DOULATPURIA","Indian National Congress",FATEHABAD,HARYANA,86172
"JARNAIL SINGH","Indian National Congress",RATIA,HARYANA,86426
"DR. KRISHAN KUMAR","Bharatiya Janata Party",BAWAL,HARYANA,86858
"HARVINDER KALYAN","Bharatiya Janata Party",GHARAUNDA,HARYANA,87236
"PARAMVIR SINGH","Indian National Congress",TOHANA,HARYANA,88522
"JAGMOHAN ANAND","Bharatiya Janata Party",KARNAL,HARYANA,90006
"AFTAB AHMED","Indian National Congress",NUH,HARYANA,91833
"SATISH KUMAR PHAGNA","Bharatiya Janata Party","FARIDABAD NIT",HARYANA,91992
"ANIL YADAV","Bharatiya Janata Party",KOSLI,HARYANA,92185
"VIPUL GOEL","Bharatiya Janata Party",FARIDABAD,HARYANA,93651
"RAJESH NAGAR","Bharatiya Janata Party",TIGAON,HARYANA,94229
"BIMLA CHAUDHARY","Bharatiya Janata Party",PATAUDI,HARYANA,98519
"MAHIPAL DHANDA","Bharatiya Janata Party","PANIPAT RURAL",HARYANA,101079
"BHUPINDER SINGH HOODA","Indian National Congress","GARHI SAMPLA",HARYANA,108539
"GAURAV GAUTAM","Bharatiya Janata Party",PALWAL,HARYANA,109118
"MUKESH SHARMA","Bharatiya Janata Party",GURGAON,HARYANA,122615
